"","gene"
"612","FUN_018500_AK5_5"
"613","FUN_027028_EPC1_2"
"614","FUN_008124_ITGB3_1"
"615","FUN_027762_ARID5B_5"
"616","FUN_025396_NLRP12_60"
"617","FUN_038359_ERMP1"
"618","FUN_031644_hypothetical_protein"
"619","FUN_017805_RELL1_1"
"620","FUN_003781_PFKFB4_1"
"621","FUN_010202_IRF2_1"
"622","FUN_004162_RBM39_1"
"623","FUN_022539_hypothetical_protein"
"624","FUN_003976_PHTF1"
"625","FUN_021626_CRISPLD2_2"
"626","FUN_036833_hypothetical_protein"
"627","FUN_026569_hypothetical_protein"
"628","FUN_024397_hypothetical_protein"
"629","FUN_010774_hypothetical_protein"
"630","FUN_017922_hypothetical_protein"
"631","FUN_020403_hypothetical_protein"
"632","FUN_015810_ARHGEF5"
"633","FUN_016758_MAN2A2"
"634","FUN_060118_hypothetical_protein"
"635","FUN_019834_SGPP2"
"636","FUN_037461_TTC39B"
"637","FUN_050138_EHD2_2"
"638","FUN_022029_CLCN4"
"639","FUN_002554_VSIG10"
"640","FUN_002570_GATSL3"
"641","FUN_006115_hypothetical_protein"
"642","FUN_050786_RFX5_1"
"643","FUN_025001_NSUN5"
"644","FUN_015661_hypothetical_protein"
"645","FUN_014474_ESCO1_2"
"646","FUN_001318_nab-1_1"
"647","FUN_029327_hypothetical_protein"
"648","FUN_018699_COLEC12_1"
"649","FUN_037966_hypothetical_protein"
"650","FUN_007859_S1PR5_1"
"651","FUN_049634_MYO19"
"652","FUN_038997_MARK2_3"
"653","FUN_028581_ADAP1_2"
"654","FUN_027697_hypothetical_protein"
"655","FUN_011601_SYNE2_1"
"656","FUN_056373_hypothetical_protein"
"657","FUN_011766_EIF3L"
"658","FUN_038230_NSA2"
"659","FUN_037175_hypothetical_protein"
"660","FUN_027548_STAT5B"
"661","FUN_050113_ADORA2B_2"
"662","FUN_028242_NPEPL1_1"
"663","FUN_036239_ID1_2"
"664","FUN_052141_FBN1_1"
"665","FUN_032886_hypothetical_protein"
"666","FUN_010582_hypothetical_protein"
"667","FUN_008845_TCEB2_1"
"668","FUN_058025_hypothetical_protein"
"669","FUN_029605_PTP4A3_2"
"670","FUN_041901_KDM7A_3"
"671","FUN_039187_OVOL1_2"
"672","FUN_042118_RPAP2"
"673","FUN_017526_SLC7A8"
"674","FUN_024224_hypothetical_protein"
"675","FUN_007480_hypothetical_protein"
"676","FUN_014946_hypothetical_protein"
"677","FUN_039837_hypothetical_protein"
"678","FUN_016820_hypothetical_protein"
"679","FUN_053353_hypothetical_protein"
"680","FUN_015730_hypothetical_protein"
"681","FUN_002853_TBC1D4_1"
"682","FUN_042377_hypothetical_protein"
"683","FUN_028252_hypothetical_protein"
"684","FUN_012511_FGFR3"
"685","FUN_047191_SSBP3_4"
"686","FUN_009234_IRX5_1"
"687","FUN_045537_KDF1"
"688","FUN_040787_GATA3"
"689","FUN_036530_CMTR1"
"690","FUN_046562_SMIM1"
"691","FUN_035827_BCL6"
"692","FUN_046755_hypothetical_protein"
"693","FUN_036695_ACVR1B_4"
"694","FUN_033184_hypothetical_protein"
"695","FUN_035835_hypothetical_protein"
"696","FUN_057317_FBRSL1"
"697","FUN_029597_hypothetical_protein"
"698","FUN_027314_hypothetical_protein"
"699","FUN_025947_NHSL1_2"
"700","FUN_033780_hypothetical_protein"
"701","FUN_000867_hypothetical_protein"
"702","FUN_009338_hypothetical_protein"
"703","FUN_022038_TRAPPC10"
"704","FUN_003598_MGAT1_1"
"705","FUN_027755_ARID5B_1"
"706","FUN_039802_hypothetical_protein"
"707","FUN_012236_MEIS1_1"
"708","FUN_006260_SCARA5_2"
"709","FUN_053495_hypothetical_protein"
"710","FUN_026256_hypothetical_protein"
"711","FUN_043885_KLHL24_2"
"712","FUN_024971_STARD13_3"
"713","FUN_014383_hypothetical_protein"
"714","FUN_043480_hypothetical_protein"
"715","FUN_039777_DDX52"
"716","FUN_026260_sult1a4_1"
"717","FUN_003676_APLP1"
"718","FUN_038498_hypothetical_protein"
"719","FUN_056189_RNF34_4"
"720","FUN_026936_ASCC1"
"721","FUN_026105_PLEKHA1_1"
"722","FUN_044636_ACAD11_1"
"723","FUN_048340_DIS3"
"724","FUN_045519_SLC4A7_5"
"725","FUN_007033_hypothetical_protein"
"726","FUN_001190_MYCBP2_1"
"727","FUN_018139_PPP3CA_1"
"728","FUN_051241_RAPGEF5_5"
"729","FUN_030174_hypothetical_protein"
"730","FUN_006292_CLEC11A"
"731","FUN_059043_GOLGA3_2"
"732","FUN_047826_hypothetical_protein"
"733","FUN_021619_MARVELD3_1"
"734","FUN_038907_hypothetical_protein"
"735","FUN_035459_ERBB3_1"
"736","FUN_034341_RND2_1"
"737","FUN_043513_ATG5_1"
"738","FUN_053352_hypothetical_protein"
"739","FUN_037616_PI16_1"
"740","FUN_010800_MTSS1L_2"
"741","FUN_034643_PLCXD1_3"
