gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17348,Zfp133-ps,1.922040351,5.49884903,8.740608023,4.860314364,5.26736072,7.104273162
g17349,Zfp14,43.24590791,29.06534487,17.48121605,70.47455828,50.56666291,51.75970447
g17350,Zfp141,113.4003807,133.5434764,150.5326937,114.2173876,154.8604052,148.1748402
g17351,Zfp142,605.4427107,650.4352853,703.1333565,577.1623307,550.9659313,593.7142571
g17352,Zfp143,392.0962317,330.7164917,373.9037876,198.0578103,220.1756781,210.0835064
g17353,Zfp146,1013.876285,994.5061246,984.7751706,804.3820273,753.232583,832.2148562
g17354,Zfp148,1745.212639,1688.932202,1691.793242,1713.260813,1585.475577,1666.459505
g17355,Zfp157,387.2911308,408.4859279,370.9902516,483.6012792,462.4742712,409.0031549
g17356,Zfp160,107.6342597,142.1845249,156.3597657,127.5832521,115.8819358,99.45982427
g17357,Zfp169,114.3614009,98.19373268,82.55018688,123.9380163,169.6090152,92.35555111
g17358,Zfp174,18.25938334,10.2121482,13.59650137,40.0975935,18.96249859,17.25323482
g17359,Zfp180,703.4667686,681.8572797,664.2862097,781.295534,833.2964659,822.0658945
g17360,Zfp182,155.6852685,128.8301773,88.3772589,154.3149811,129.5770737,142.0854632
g17361,Zfp184,82.64773511,116.2613795,123.339691,238.1554038,218.0687338,245.6048722
g17362,Zfp189,85.53079564,78.55498614,47.58775479,100.8515231,90.59860438,79.16190095
g17363,Zfp2,8.649181581,13.35434764,2.913536008,26.731729,38.97846933,17.25323482
g17364,Zfp202,216.2295395,159.4666219,230.1693446,182.2617887,164.3416545,160.3535942
g17365,Zfp207,1828.821394,1699.14435,1770.458714,981.7835016,916.5207653,1032.149401
g17366,Zfp212,262.358508,267.8725027,309.8059955,281.8982331,286.5444232,258.7985223
g17367,Zfp213,132.6207842,97.40818282,105.8584749,108.1419946,94.81249296,141.0705671
g17368,Zfp217,1101.329121,1153.972746,1122.682542,866.3510354,881.7561845,829.1701677
g17369,Zfp219,452.6405027,418.6980761,483.6469773,428.9227426,403.4798312,440.4649361
g17370,Zfp229,139.3479255,148.4689238,126.253227,130.0134092,126.4166573,121.7875399
g17371,Zfp235,112.4393606,91.12378393,130.1379417,133.658645,131.684018,115.6981629
g17372,Zfp236,662.142901,674.0017811,689.5368551,467.8052575,466.6881598,382.6158546
g17373,Zfp239,176.8277123,178.3198185,183.5527685,153.0999025,141.1652673,159.3386981
g17374,Zfp24,690.0124861,635.5098379,641.9491004,533.4195015,530.9499606,523.6864217
g17375,Zfp248,191.243015,185.3897673,194.2357338,233.2950895,203.3201238,176.5919329
g17376,Zfp251,308.4874764,338.5719903,329.2295689,390.0402277,455.0999662,410.0180511
g17377,Zfp26,531.4441572,530.2461565,498.2146573,504.2576153,624.7089814,547.0290335
g17378,Zfp260,369.9927676,420.2691759,333.1142835,437.4282928,416.1214969,409.0031549
g17379,Zfp263,323.8637992,310.2921953,305.9212808,394.9005421,375.0360833,461.7777556
g17380,Zfp264,144.1530264,175.1776191,172.8698031,204.1332033,178.0367923,190.8004792
g17381,Zfp266,757.2838984,726.6336218,638.0643857,712.0360543,647.8853686,552.1035143
